Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G34972	SAMEA3501125	Bjorn-Mortensen 2016	ERR978821		
G34973	SAMEA3501126	Bjorn-Mortensen 2016	ERR978822;ERR978823		
G34974	SAMEA3501127	Bjorn-Mortensen 2016	ERR978824		
G34975	SAMEA3501128	Bjorn-Mortensen 2016	ERR978825		
G34976	SAMEA3501129	Bjorn-Mortensen 2016	ERR978826		
G34979	SAMEA3501132	Bjorn-Mortensen 2016	ERR978829		
G14062	SAMEA2535341	Walker2015	ERR553368	2010	
G22965	SAMEA3715808	Eldholm 2016	ERR1194779	2011	
G22966	SAMEA3715809	Eldholm 2016	ERR1194780	2011	
G22967	SAMEA3715810	Eldholm 2016	ERR1194781	2012	
G22968	SAMEA3715811	Eldholm 2016	ERR1194782	2009	
G22969	SAMEA3715812	Eldholm 2016	ERR1194783	2012	
G22970	SAMEA3715813	Eldholm 2016	ERR1194784	2012	
G22971	SAMEA3715814	Eldholm 2016	ERR1194785	2013	
G22972	SAMEA3715815	Eldholm 2016	ERR1194786	2013	
G22973	SAMEA3715816	Eldholm 2016	ERR1194787	2013	
G22974	SAMEA3715817	Eldholm 2016	ERR1194788	2013	
G22975	SAMEA3715818	Eldholm 2016	ERR1194789	2013	
G22976	SAMEA3715819	Eldholm 2016	ERR1194790	2013	
G22977	SAMEA3715820	Eldholm 2016	ERR1194791	2013	
G22978	SAMEA3715821	Eldholm 2016	ERR1194792	2013	
G22979	SAMEA3715822	Eldholm 2016	ERR1194793	2013	
G22980	SAMEA3715823	Eldholm 2016	ERR1194794	2013	
G22981	SAMEA3715829	Eldholm 2016	ERR1194795	2012	
G22982	SAMEA3715830	Eldholm 2016	ERR1194796	2013	
G22983	SAMEA3715831	Eldholm 2016	ERR1194797	2013	
G22984	SAMEA3715824	Eldholm 2016	ERR1194798	2013	
G22988	SAMEA3715825	Eldholm 2016	ERR1194802	2014	
G22992	SAMEA3715826	Eldholm 2016	ERR1194806	2014	
G22999	SAMEA3715827	Eldholm 2016	ERR1194813	2014	
G23001	SAMEA3715828	Eldholm 2016	ERR1194815	2012	
G23007	SAMEA4378179	Eldholm 2016	ERR1577247	2015	
G23008	SAMEA4378181	Eldholm 2016	ERR1577249	2015	
G34708	SAMEA3923309	Eldholm 2016	ERR1353082	2008	
G34709	SAMEA3923310	Eldholm 2016	ERR1353083	2009	
G34980	SAMEA104027296	Folkvardsen 2017	ERR1949951	2001	
G34986	SAMEA104027302	Folkvardsen 2017	ERR1949958	2004	
G34987	SAMEA104027303	Folkvardsen 2017	ERR1949959	1997	
G34988	SAMEA104027304	Folkvardsen 2017	ERR1949960	2005	
G34989	SAMEA104027305	Folkvardsen 2017	ERR1949961	2005	
G34990	SAMEA104027306	Folkvardsen 2017	ERR1949962	2006	
G34993	SAMEA104027309	Folkvardsen 2017	ERR1949965	1992	
G34995	SAMEA104027311	Folkvardsen 2017	ERR1949967	1993	
G34996	SAMEA104027312	Folkvardsen 2017	ERR1949968	1994	
G34997	SAMEA104027313	Folkvardsen 2017	ERR1949969	2012	
G34998	SAMEA104027314	Folkvardsen 2017	ERR1949970	2012	
G34999	SAMEA104027315	Folkvardsen 2017	ERR1949971;ERR1949972	2013	
G35000	SAMEA104027316	Folkvardsen 2017	ERR1949973	2013	
G35001	SAMEA104027317	Folkvardsen 2017	ERR1949974;ERR1949975	2013	
G35002	SAMEA104027318	Folkvardsen 2017	ERR1949976	1993	
G35003	SAMEA104027319	Folkvardsen 2017	ERR1949977;ERR1949978	2013	
G35004	SAMEA104027320	Folkvardsen 2017	ERR1949979	1993	
G35005	SAMEA104027321	Folkvardsen 2017	ERR1949980	1993	
G35006	SAMEA104027322	Folkvardsen 2017	ERR1949981	1992	
G35007	SAMEA104027323	Folkvardsen 2017	ERR1949982;ERR1949983	2008	
G35008	SAMEA104027324	Folkvardsen 2017	ERR1949984	2008	
G35011	SAMEA104027327	Folkvardsen 2017	ERR1949987	2003	
G35012	SAMEA104027328	Folkvardsen 2017	ERR1949988	1996	
G35013	SAMEA104027329	Folkvardsen 2017	ERR1949989;ERR1949990	1996	
G35014	SAMEA104027330	Folkvardsen 2017	ERR1949991;ERR1949992	1996	
G35016	SAMEA104027332	Folkvardsen 2017	ERR1949995	1994	
G35017	SAMEA104027333	Folkvardsen 2017	ERR1949996	2005	
G35018	SAMEA104027334	Folkvardsen 2017	ERR1949997	1996	
G35019	SAMEA104027335	Folkvardsen 2017	ERR1949998	2014	
G35020	SAMEA104027336	Folkvardsen 2017	ERR1949999;ERR1950000	2014	
G35021	SAMEA104027337	Folkvardsen 2017	ERR1950001	2014	
G35023	SAMEA104027339	Folkvardsen 2017	ERR1950003;ERR1950004	2014	
G35024	SAMEA104027340	Folkvardsen 2017	ERR1950005	2000	
G35025	SAMEA104027341	Folkvardsen 2017	ERR1950006	2001	
G35026	SAMEA104027342	Folkvardsen 2017	ERR1950007	2001	
G35027	SAMEA104027343	Folkvardsen 2017	ERR1950008;ERR1950009	2001	
G35029	SAMEA104027345	Folkvardsen 2017	ERR1950011;ERR1950012	2001	
G35030	SAMEA104027346	Folkvardsen 2017	ERR1950013	2005	
G35031	SAMEA104027347	Folkvardsen 2017	ERR1950014	2006	
G35032	SAMEA104027348	Folkvardsen 2017	ERR1950015	2006	
G35033	SAMEA104027349	Folkvardsen 2017	ERR1950016;ERR1950017	2006	
G35034	SAMEA104027350	Folkvardsen 2017	ERR1950018	2006	
G35035	SAMEA104027351	Folkvardsen 2017	ERR1950019	2007	
G35037	SAMEA104027353	Folkvardsen 2017	ERR1950021	2007	
G35039	SAMEA104027355	Folkvardsen 2017	ERR1950023;ERR1950024	2007	
G35040	SAMEA104027356	Folkvardsen 2017	ERR1950025	1993	
G35041	SAMEA104027357	Folkvardsen 2017	ERR1950026	1997	
G35042	SAMEA104027358	Folkvardsen 2017	ERR1950027	2004	
G35043	SAMEA104027359	Folkvardsen 2017	ERR1950028;ERR1950029	1997	
G35044	SAMEA104027360	Folkvardsen 2017	ERR1950030	1997	
G35045	SAMEA104027361	Folkvardsen 2017	ERR1950031	1997	
G35048	SAMEA104027364	Folkvardsen 2017	ERR1950034	1998	
G35050	SAMEA104027366	Folkvardsen 2017	ERR1950036	1999	
G35051	SAMEA104027367	Folkvardsen 2017	ERR1950037;ERR1950038	1999	
G35054	SAMEA104027370	Folkvardsen 2017	ERR1950041	1999	
G35055	SAMEA104027371	Folkvardsen 2017	ERR1950042	2000	
G35056	SAMEA104027372	Folkvardsen 2017	ERR1950043	2000	
G35057	SAMEA104027373	Folkvardsen 2017	ERR1950044	2000	
G35059	SAMEA104027375	Folkvardsen 2017	ERR1950046	1992	
G35061	SAMEA104027377	Folkvardsen 2017	ERR1950048	1994	
G35063	SAMEA104027379	Folkvardsen 2017	ERR1950050	1995	
G35064	SAMEA104027380	Folkvardsen 2017	ERR1950051	1995	
G35066	SAMEA104027382	Folkvardsen 2017	ERR1950054;ERR1950055	2002	
G35067	SAMEA104027383	Folkvardsen 2017	ERR1950056	2002	
G35068	SAMEA104027384	Folkvardsen 2017	ERR1950057	2002	
G35069	SAMEA104027385	Folkvardsen 2017	ERR1950058	2003	
G35071	SAMEA104027387	Folkvardsen 2017	ERR1950060	2003	
G35072	SAMEA104027388	Folkvardsen 2017	ERR1950061;ERR1950062	2011	
G35073	SAMEA104027389	Folkvardsen 2017	ERR1950063	2004	
G35074	SAMEA104027390	Folkvardsen 2017	ERR1950064;ERR1950065	2011	
G35075	SAMEA104027391	Folkvardsen 2017	ERR1950066	2011	
G35078	SAMEA104027394	Folkvardsen 2017	ERR1950069;ERR1950070	2012	
G35079	SAMEA104027395	Folkvardsen 2017	ERR1950071	2013	
G35081	SAMEA104027397	Folkvardsen 2017	ERR1950073	2011	
G35083	SAMEA104027399	Folkvardsen 2017	ERR1950075	2010	
G35084	SAMEA104027400	Folkvardsen 2017	ERR1950076	2004	
G35085	SAMEA104027401	Folkvardsen 2017	ERR1950077	2010	
G35086	SAMEA104027402	Folkvardsen 2017	ERR1950078	2010	
G35087	SAMEA104027403	Folkvardsen 2017	ERR1950079	2010	
G35088	SAMEA104027404	Folkvardsen 2017	ERR1950080;ERR1950081	2009	
G35089	SAMEA104027405	Folkvardsen 2017	ERR1950082	2009	
G35091	SAMEA104027407	Folkvardsen 2017	ERR1950085;ERR1950086	2009	
G35092	SAMEA104027408	Folkvardsen 2017	ERR1950087	2009	
G35093	SAMEA104027409	Folkvardsen 2017	ERR1950088;ERR1950089	2008	
G35094	SAMEA104027410	Folkvardsen 2017	ERR1950090	2008	
G35096	SAMEA104447116	Folkvardsen 2017	ERR2228789	2003	
G35098	SAMEA104447161	Folkvardsen 2017	ERR2228793	2004	
G35099	SAMEA104447178	Folkvardsen 2017	ERR2228794	2005	
G35100	SAMEA104447198	Folkvardsen 2017	ERR2228795	2005	
G35102	SAMEA104447241	Folkvardsen 2017	ERR2228797	2006	
G35103	SAMEA104447244	Folkvardsen 2017	ERR2228798	2006	
G35104	SAMEA104447271	Folkvardsen 2017	ERR2228799	2007	
G35105	SAMEA104447272	Folkvardsen 2017	ERR2228800	2007	
G35106	SAMEA104447273	Folkvardsen 2017	ERR2228801	2007	
G35107	SAMEA104447287	Folkvardsen 2017	ERR2228802	2007	
G35108	SAMEA104447292	Folkvardsen 2017	ERR2228803	2007	
G35109	SAMEA104447300	Folkvardsen 2017	ERR2228804;ERR2228805	2007	
G35111	SAMEA104447329	Folkvardsen 2017	ERR2228807	2008	
G35112	SAMEA104447334	Folkvardsen 2017	ERR2228808	2008	
G35113	SAMEA104447361	Folkvardsen 2017	ERR2228809	2009	
G35114	SAMEA104447363	Folkvardsen 2017	ERR2228810;ERR2228811	2009	
G35115	SAMEA104447377	Folkvardsen 2017	ERR2228812	2009	
G35116	SAMEA104447386	Folkvardsen 2017	ERR2228813	2009	
G35117	SAMEA104447387	Folkvardsen 2017	ERR2228814	2009	
G35118	SAMEA104447392	Folkvardsen 2017	ERR2228815	2009	
G35119	SAMEA104447196	Folkvardsen 2017	ERR2228816	2005	
G35121	SAMEA104447648	Folkvardsen 2017	ERR2228818	2013	
G35123	SAMEA104447644	Folkvardsen 2017	ERR2228820	2013	
G35125	SAMEA104447608	Folkvardsen 2017	ERR2228822;ERR2228823;ERR2228824	2012	
G35126	SAMEA104447624	Folkvardsen 2017	ERR2228825	2013	
G35127	SAMEA104447662	Folkvardsen 2017	ERR2228826	2014	
G35129	SAMEA104447680	Folkvardsen 2017	ERR2228828	2014	
G35130	SAMEA104447286	Folkvardsen 2017	ERR2228829	2007	
G35131	SAMEA104447289	Folkvardsen 2017	ERR2228830	2007	
G35132	SAMEA104447576	Folkvardsen 2017	ERR2228831;ERR2228832	2012	
G35133	SAMEA104447676	Folkvardsen 2017	ERR2228833	2014	
G35134	SAMEA104447675	Folkvardsen 2017	ERR2228834	2014	
G35135	SAMEA104447672	Folkvardsen 2017	ERR2228835	2014	
G35136	SAMEA104447673	Folkvardsen 2017	ERR2228836	2014	
G35137	SAMEA104447674	Folkvardsen 2017	ERR2228837	2014	
G35139	SAMEA104447664	Folkvardsen 2017	ERR2228839	2014	
G35141	SAMEA104447667	Folkvardsen 2017	ERR2228841	2014	
G35142	SAMEA104447661	Folkvardsen 2017	ERR2228842	2014	
G35143	SAMEA104447295	Folkvardsen 2017	ERR2228843	2007	
G35144	SAMEA104447294	Folkvardsen 2017	ERR2228844	2007	
G35145	SAMEA104447293	Folkvardsen 2017	ERR2228845	2007	
G35146	SAMEA104447291	Folkvardsen 2017	ERR2228846	2007	
G35147	SAMEA104447290	Folkvardsen 2017	ERR2228847	2007	
G35148	SAMEA104447288	Folkvardsen 2017	ERR2228848	2007	
G35149	SAMEA104447149	Folkvardsen 2017	ERR2228849	2004	
G35150	SAMEA104447148	Folkvardsen 2017	ERR2228850	2004	
G35151	SAMEA104447147	Folkvardsen 2017	ERR2228851	2004	
G35152	SAMEA104447146	Folkvardsen 2017	ERR2228852	2004	
G35153	SAMEA104447179	Folkvardsen 2017	ERR2228853	2005	
G35154	SAMEA104447164	Folkvardsen 2017	ERR2228854	2004	
G35155	SAMEA104447024	Folkvardsen 2017	ERR2228855	2000	
G35156	SAMEA104447091	Folkvardsen 2017	ERR2228856	2002	
G35157	SAMEA104447105	Folkvardsen 2017	ERR2228857	2003	
G35158	SAMEA104447110	Folkvardsen 2017	ERR2228858	2003	
G35160	SAMEA104447141	Folkvardsen 2017	ERR2228862	2004	
G35161	SAMEA104447142	Folkvardsen 2017	ERR2228863	2004	
G35162	SAMEA104447143	Folkvardsen 2017	ERR2228864	2004	
G35163	SAMEA104447144	Folkvardsen 2017	ERR2228865	2004	
G35164	SAMEA104447152	Folkvardsen 2017	ERR2228866	2004	
G35165	SAMEA104447568	Folkvardsen 2017	ERR2228867;ERR2228868	2012	
G35166	SAMEA104447153	Folkvardsen 2017	ERR2228869	2004	
G35167	SAMEA104447154	Folkvardsen 2017	ERR2228870	2004	
G35168	SAMEA104447155	Folkvardsen 2017	ERR2228871	2004	
G35169	SAMEA104447156	Folkvardsen 2017	ERR2228872	2004	
G35170	SAMEA104447157	Folkvardsen 2017	ERR2228873	2004	
G35172	SAMEA104447159	Folkvardsen 2017	ERR2228877	2004	
G35174	SAMEA104447162	Folkvardsen 2017	ERR2228881	2004	
G35175	SAMEA104447163	Folkvardsen 2017	ERR2228882	2004	
G35176	SAMEA104447165	Folkvardsen 2017	ERR2228883	2004	
G35177	SAMEA104447166	Folkvardsen 2017	ERR2228884	2004	
G35178	SAMEA104447167	Folkvardsen 2017	ERR2228885	2004	
G35179	SAMEA104447169	Folkvardsen 2017	ERR2228886	2004	
G35180	SAMEA104447171	Folkvardsen 2017	ERR2228887	2004	
G35182	SAMEA104447173	Folkvardsen 2017	ERR2228889	2004	
G35184	SAMEA104447175	Folkvardsen 2017	ERR2228893	2004	
G35185	SAMEA104447308	Folkvardsen 2017	ERR2228894;ERR2228895	2008	
G35186	SAMEA104447309	Folkvardsen 2017	ERR2228896	2008	
G35187	SAMEA104447310	Folkvardsen 2017	ERR2228897;ERR2228898	2008	
G35188	SAMEA104447338	Folkvardsen 2017	ERR2228899;ERR2228900	2008	
G35189	SAMEA104447339	Folkvardsen 2017	ERR2228901	2008	
G35192	SAMEA104447145	Folkvardsen 2017	ERR2228906	2004	
G35193	SAMEA104447176	Folkvardsen 2017	ERR2228907;ERR2228908	2004	
G35194	SAMEA104447296	Folkvardsen 2017	ERR2228909;ERR2228910	2007	
G35195	SAMEA104447297	Folkvardsen 2017	ERR2228911	2007	
G35196	SAMEA104447298	Folkvardsen 2017	ERR2228912	2007	
G35197	SAMEA104447199	Folkvardsen 2017	ERR2228913	2005	
G35198	SAMEA104447201	Folkvardsen 2017	ERR2228914	2005	
G35200	SAMEA104447203	Folkvardsen 2017	ERR2228916	2005	
G35201	SAMEA104447204	Folkvardsen 2017	ERR2228917	2005	
G35202	SAMEA104447205	Folkvardsen 2017	ERR2228918	2005	
G35203	SAMEA104447206	Folkvardsen 2017	ERR2228919	2005	
G35204	SAMEA104447208	Folkvardsen 2017	ERR2228920	2006	
G35205	SAMEA104447209	Folkvardsen 2017	ERR2228921	2006	
G35206	SAMEA104447249	Folkvardsen 2017	ERR2228922	2006	
G35207	SAMEA104447168	Folkvardsen 2017	ERR2228923	2004	
G35208	SAMEA104447228	Folkvardsen 2017	ERR2228924	2006	
G35209	SAMEA104447229	Folkvardsen 2017	ERR2228925	2006	
G35210	SAMEA104447230	Folkvardsen 2017	ERR2228926	2006	
G35211	SAMEA104447231	Folkvardsen 2017	ERR2228927	2006	
G35212	SAMEA104447232	Folkvardsen 2017	ERR2228928	2006	
G35213	SAMEA104447234	Folkvardsen 2017	ERR2228929	2006	
G35214	SAMEA104447235	Folkvardsen 2017	ERR2228930	2006	
G35215	SAMEA104447236	Folkvardsen 2017	ERR2228931	2006	
G35216	SAMEA104447238	Folkvardsen 2017	ERR2228932	2006	
G35217	SAMEA104447260	Folkvardsen 2017	ERR2228933	2006	
G35218	SAMEA104447239	Folkvardsen 2017	ERR2228934	2006	
G35219	SAMEA104447240	Folkvardsen 2017	ERR2228935	2006	
G35220	SAMEA104447243	Folkvardsen 2017	ERR2228936	2006	
G35221	SAMEA104447245	Folkvardsen 2017	ERR2228937	2006	
G35222	SAMEA104447246	Folkvardsen 2017	ERR2228938;ERR2228939	2006	
G35223	SAMEA104447247	Folkvardsen 2017	ERR2228940	2006	
G35224	SAMEA104447248	Folkvardsen 2017	ERR2228941	2006	
G35226	SAMEA104447261	Folkvardsen 2017	ERR2228943	2007	
G35227	SAMEA104447262	Folkvardsen 2017	ERR2228944	2007	
G35228	SAMEA104447263	Folkvardsen 2017	ERR2228945	2007	
G35229	SAMEA104447264	Folkvardsen 2017	ERR2228946	2007	
G35230	SAMEA104447265	Folkvardsen 2017	ERR2228947	2007	
G35231	SAMEA104447266	Folkvardsen 2017	ERR2228948	2007	
G35232	SAMEA104447301	Folkvardsen 2017	ERR2228949	2007	
G35233	SAMEA104447299	Folkvardsen 2017	ERR2228950	2007	
G35234	SAMEA104447197	Folkvardsen 2017	ERR2228951	2005	
G35235	SAMEA104447267	Folkvardsen 2017	ERR2228952	2007	
G35236	SAMEA104447268	Folkvardsen 2017	ERR2228953	2007	
G35237	SAMEA104447269	Folkvardsen 2017	ERR2228954	2007	
G35238	SAMEA104447270	Folkvardsen 2017	ERR2228955	2007	
G35239	SAMEA104447274	Folkvardsen 2017	ERR2228956	2007	
G35240	SAMEA104447275	Folkvardsen 2017	ERR2228957;ERR2228958	2007	
G35241	SAMEA104447279	Folkvardsen 2017	ERR2228959;ERR2228960	2007	
G35242	SAMEA104447250	Folkvardsen 2017	ERR2228961	2006	
G35243	SAMEA104447252	Folkvardsen 2017	ERR2228962	2006	
G35244	SAMEA104447254	Folkvardsen 2017	ERR2228963	2006	
G35245	SAMEA104447256	Folkvardsen 2017	ERR2228964	2006	
G35246	SAMEA104447258	Folkvardsen 2017	ERR2228965;ERR2228966	2006	
G35247	SAMEA104447683	Folkvardsen 2017	ERR2228967	2014	
G35248	SAMEA104447677	Folkvardsen 2017	ERR2228968	2014	
G35249	SAMEA104447678	Folkvardsen 2017	ERR2228969	2014	
G35250	SAMEA104447679	Folkvardsen 2017	ERR2228970;ERR2228971	2014	
G35251	SAMEA104447685	Folkvardsen 2017	ERR2228972	2014	
G35252	SAMEA104447684	Folkvardsen 2017	ERR2228973	2014	
G35253	SAMEA104447681	Folkvardsen 2017	ERR2228974	2014	
G35254	SAMEA104447686	Folkvardsen 2017	ERR2228975	2014	
G35255	SAMEA104447687	Folkvardsen 2017	ERR2228976;ERR2228977	2014	
G35256	SAMEA104447688	Folkvardsen 2017	ERR2228978	2014	
G35257	SAMEA104447689	Folkvardsen 2017	ERR2228979	2014	
G35258	SAMEA104447690	Folkvardsen 2017	ERR2228980	2014	
G35259	SAMEA104447691	Folkvardsen 2017	ERR2228981	2014	
G35260	SAMEA104447693	Folkvardsen 2017	ERR2228982	2014	
G35261	SAMEA104447694	Folkvardsen 2017	ERR2228983	2014	
G35262	SAMEA104447695	Folkvardsen 2017	ERR2228984;ERR2228985	2014	
G35263	SAMEA104447682	Folkvardsen 2017	ERR2228986	2014	
G35264	SAMEA104447211	Folkvardsen 2017	ERR2228987	2006	
G35265	SAMEA104447212	Folkvardsen 2017	ERR2228988	2006	
G35266	SAMEA104447214	Folkvardsen 2017	ERR2228989	2006	
G35267	SAMEA104447215	Folkvardsen 2017	ERR2228990	2006	
G35268	SAMEA104447216	Folkvardsen 2017	ERR2228991	2006	
G35269	SAMEA104447210	Folkvardsen 2017	ERR2228992	2006	
G35271	SAMEA104447218	Folkvardsen 2017	ERR2228996	2006	
G35272	SAMEA104447219	Folkvardsen 2017	ERR2228997	2006	
G35275	SAMEA104447223	Folkvardsen 2017	ERR2229002;ERR2229003	2006	
G35276	SAMEA104447225	Folkvardsen 2017	ERR2229004	2006	
G35278	SAMEA104447195	Folkvardsen 2017	ERR2229006;ERR2229007	2005	
G35279	SAMEA104447194	Folkvardsen 2017	ERR2229008;ERR2229009	2005	
G35281	SAMEA104447192	Folkvardsen 2017	ERR2229013	2005	
G35282	SAMEA104447283	Folkvardsen 2017	ERR2229014	2007	
G35283	SAMEA104447284	Folkvardsen 2017	ERR2229015	2007	
G35284	SAMEA104446885	Folkvardsen 2017	ERR2229016;ERR2229017	1994	
G35285	SAMEA104446886	Folkvardsen 2017	ERR2229018;ERR2229019	1994	
G35286	SAMEA104447177	Folkvardsen 2017	ERR2229020	2005	
G35289	SAMEA104447187	Folkvardsen 2017	ERR2229023	2005	
G35291	SAMEA104447503	Folkvardsen 2017	ERR2229025;ERR2229026	2011	
G35293	SAMEA104446883	Folkvardsen 2017	ERR2229028	1994	
G35294	SAMEA104446884	Folkvardsen 2017	ERR2229029	1994	
G35295	SAMEA104446999	Folkvardsen 2017	ERR2229030	1999	
G35297	SAMEA104447281	Folkvardsen 2017	ERR2229034	2007	
G35298	SAMEA104447276	Folkvardsen 2017	ERR2229035	2007	
G35299	SAMEA104447277	Folkvardsen 2017	ERR2229036;ERR2229037	2007	
G35300	SAMEA104447278	Folkvardsen 2017	ERR2229038;ERR2229039	2007	
G35302	SAMEA104447508	Folkvardsen 2017	ERR2229041;ERR2229042	2011	
G35304	SAMEA104447151	Folkvardsen 2017	ERR2229045	2004	
G35305	SAMEA104447224	Folkvardsen 2017	ERR2229046	2006	
G35306	SAMEA104447191	Folkvardsen 2017	ERR2229047	2005	
G35307	SAMEA104447190	Folkvardsen 2017	ERR2229048	2005	
G35308	SAMEA104446872	Folkvardsen 2017	ERR2229049	1993	
G35309	SAMEA104446873	Folkvardsen 2017	ERR2229050;ERR2229051	1993	
G35310	SAMEA104446875	Folkvardsen 2017	ERR2229052	1993	
G35311	SAMEA104446894	Folkvardsen 2017	ERR2229053	1995	
G35315	SAMEA104446898	Folkvardsen 2017	ERR2229057;ERR2229058	1995	
G35316	SAMEA104446899	Folkvardsen 2017	ERR2229059;ERR2229060	1995	
G35317	SAMEA104446900	Folkvardsen 2017	ERR2229061	1995	
G35318	SAMEA104446901	Folkvardsen 2017	ERR2229062;ERR2229063	1995	
G35319	SAMEA104446902	Folkvardsen 2017	ERR2229064	1995	
G35321	SAMEA104446904	Folkvardsen 2017	ERR2229066	1995	
G35322	SAMEA104446905	Folkvardsen 2017	ERR2229067	1995	
G35323	SAMEA104446906	Folkvardsen 2017	ERR2229068	1995	
G35324	SAMEA104446907	Folkvardsen 2017	ERR2229069	1995	
G35327	SAMEA104446910	Folkvardsen 2017	ERR2229072;ERR2229073	1995	
G35328	SAMEA104446911	Folkvardsen 2017	ERR2229074;ERR2229075	1995	
G35329	SAMEA104446912	Folkvardsen 2017	ERR2229076;ERR2229077	1995	
G35330	SAMEA104446913	Folkvardsen 2017	ERR2229078;ERR2229079	1995	
G35331	SAMEA104446914	Folkvardsen 2017	ERR2229080;ERR2229081	1995	
G35332	SAMEA104446915	Folkvardsen 2017	ERR2229082;ERR2229083	1995	
G35333	SAMEA104446916	Folkvardsen 2017	ERR2229084	1995	
G35334	SAMEA104446917	Folkvardsen 2017	ERR2229085;ERR2229086	1995	
G35335	SAMEA104446918	Folkvardsen 2017	ERR2229087	1995	
G35340	SAMEA104446923	Folkvardsen 2017	ERR2229093;ERR2229094	1996	
G35342	SAMEA104446925	Folkvardsen 2017	ERR2229096;ERR2229097	1996	
G35343	SAMEA104446926	Folkvardsen 2017	ERR2229098;ERR2229099	1996	
G35344	SAMEA104446927	Folkvardsen 2017	ERR2229100;ERR2229101	1996	
G35345	SAMEA104446928	Folkvardsen 2017	ERR2229102;ERR2229103	1996	
G35347	SAMEA104446930	Folkvardsen 2017	ERR2229105;ERR2229106	1996	
G35348	SAMEA104446931	Folkvardsen 2017	ERR2229107;ERR2229108	1996	
G35349	SAMEA104446932	Folkvardsen 2017	ERR2229109	1996	
G35350	SAMEA104446949	Folkvardsen 2017	ERR2229110	1997	
G35351	SAMEA104446933	Folkvardsen 2017	ERR2229111;ERR2229112	1996	
G35352	SAMEA104446934	Folkvardsen 2017	ERR2229113;ERR2229114	1996	
G35355	SAMEA104446937	Folkvardsen 2017	ERR2229117	1996	
G35362	SAMEA104446944	Folkvardsen 2017	ERR2229124	1997	
G35363	SAMEA104446945	Folkvardsen 2017	ERR2229125;ERR2229126	1997	
G35364	SAMEA104446946	Folkvardsen 2017	ERR2229127;ERR2229128	1997	
G35365	SAMEA104446947	Folkvardsen 2017	ERR2229129;ERR2229130;ERR2229131	1997	
G35371	SAMEA104446955	Folkvardsen 2017	ERR2229137	1997	
G35374	SAMEA104446961	Folkvardsen 2017	ERR2229140	1998	
G35378	SAMEA104447613	Folkvardsen 2017	ERR2229147;ERR2229148	2013	
G35379	SAMEA104447614	Folkvardsen 2017	ERR2229149;ERR2229150	2013	
G35380	SAMEA104447616	Folkvardsen 2017	ERR2229151	2013	
G35381	SAMEA104447617	Folkvardsen 2017	ERR2229152;ERR2229153	2013	
G35383	SAMEA104447619	Folkvardsen 2017	ERR2229155;ERR2229156	2013	
G35385	SAMEA104447621	Folkvardsen 2017	ERR2229158;ERR2229159	2013	
G35388	SAMEA104447625	Folkvardsen 2017	ERR2229163;ERR2229164	2013	
G35389	SAMEA104447626	Folkvardsen 2017	ERR2229165;ERR2229166;ERR2229167	2013	
G35392	SAMEA104447629	Folkvardsen 2017	ERR2229172;ERR2229173	2013	
G35393	SAMEA104447630	Folkvardsen 2017	ERR2229174	2013	
G35394	SAMEA104447631	Folkvardsen 2017	ERR2229175;ERR2229176	2013	
G35395	SAMEA104447632	Folkvardsen 2017	ERR2229177;ERR2229178	2013	
G35397	SAMEA104446950	Folkvardsen 2017	ERR2229180;ERR2229181	1997	
G35398	SAMEA104446967	Folkvardsen 2017	ERR2229182;ERR2229183	1998	
G35399	SAMEA104446976	Folkvardsen 2017	ERR2229184;ERR2229185	1998	
G35401	SAMEA104446991	Folkvardsen 2017	ERR2229187	1998	
G35402	SAMEA104447316	Folkvardsen 2017	ERR2229188	2008	
G35403	SAMEA104447322	Folkvardsen 2017	ERR2229189	2008	
G35405	SAMEA104447359	Folkvardsen 2017	ERR2229191	2009	
G35406	SAMEA104447367	Folkvardsen 2017	ERR2229192	2009	
G35407	SAMEA104447376	Folkvardsen 2017	ERR2229193	2009	
G35408	SAMEA104447385	Folkvardsen 2017	ERR2229194	2009	
G35409	SAMEA104446959	Folkvardsen 2017	ERR2229195;ERR2229196	1997	
G35413	SAMEA104446992	Folkvardsen 2017	ERR2229201	1999	
G35414	SAMEA104447317	Folkvardsen 2017	ERR2229202	2008	
G35415	SAMEA104447323	Folkvardsen 2017	ERR2229203	2008	
G35416	SAMEA104447333	Folkvardsen 2017	ERR2229204	2008	
G35417	SAMEA104446960	Folkvardsen 2017	ERR2229205;ERR2229206;ERR2229207	1998	
G35419	SAMEA104446963	Folkvardsen 2017	ERR2229209;ERR2229210	1998	
G35420	SAMEA104446964	Folkvardsen 2017	ERR2229211;ERR2229212	1998	
G35421	SAMEA104446965	Folkvardsen 2017	ERR2229213;ERR2229214	1998	
G35422	SAMEA104446966	Folkvardsen 2017	ERR2229215;ERR2229216	1998	
G35423	SAMEA104446969	Folkvardsen 2017	ERR2229217;ERR2229218	1998	
G35424	SAMEA104446970	Folkvardsen 2017	ERR2229219;ERR2229220	1998	
G35425	SAMEA104446971	Folkvardsen 2017	ERR2229221;ERR2229222	1998	
G35426	SAMEA104446972	Folkvardsen 2017	ERR2229223;ERR2229224	1998	
G35427	SAMEA104446974	Folkvardsen 2017	ERR2229225;ERR2229226	1998	
G35430	SAMEA104446980	Folkvardsen 2017	ERR2229229;ERR2229230	1998	
